team,off,def,net
SEA,0.0202,-0.1458,0.166
BUF,0.151,0.0097,0.1413
BAL,0.106,-0.0332,0.1392
LA,0.0976,-0.0334,0.131
JAX,0.0593,-0.0582,0.1175
NE,0.0959,-0.0196,0.1155
PHI,-0.0114,-0.1078,0.0964
SF,0.108,0.0152,0.0928
DET,0.0803,-0.0106,0.0909
HOU,-0.0194,-0.0988,0.0793
MIN,-0.0948,-0.1709,0.0761
CHI,0.108,0.0336,0.0744
GB,0.0822,0.0195,0.0626
KC,0.0143,-0.0457,0.06
DEN,0.0043,-0.0424,0.0468
PIT,-0.0244,-0.0366,0.0121
LAC,-0.0581,-0.044,-0.0141
ATL,-0.0568,-0.0299,-0.027
ARI,0.0236,0.0516,-0.028
NO,-0.0918,-0.0619,-0.0298
CIN,0.0214,0.0532,-0.0318
IND,0.0031,0.0411,-0.038
NYG,0.0169,0.06,-0.0431
TB,-0.0318,0.0158,-0.0476
WAS,0.0352,0.1172,-0.082
DAL,0.0612,0.1806,-0.1194
CAR,-0.0155,0.1075,-0.123
MIA,-0.0636,0.0732,-0.1368
CLE,-0.1977,-0.0531,-0.1446
LV,-0.1912,-0.0096,-0.1816
NYJ,-0.117,0.109,-0.226
TEN,-0.1147,0.1143,-0.2291
