min_edge,bets,wins,win_pct,roi_at_-110
0.5,709,329,0.46403385049365303,-0.11415937940761633
1.0,600,274,0.45666666666666667,-0.12822333333333336
2.0,407,182,0.44717444717444715,-0.14634398034398033
3.0,251,110,0.43824701195219123,-0.16338645418326692
4.0,158,80,0.5063291139240507,-0.03341772151898725
5.0,87,42,0.4827586206896552,-0.0784137931034482
